turner	proto_headword	proto_accent_nucleus	proto_nuclei	source_glosses	palula	gil	koh	gur	Astor	dr	bro	source_rows	proto_entry
10299	mr̥ṣṭá	2	2	good		míṣṭo	míṣṭho	míṣṭhu	míṣṭhu			gil:1049; koh:1050; gur:1051; Astor:1052	10299 mr̥ṣṭá¹ 'rubbed, washed, pure' RV., 'prepared, savoury' R., 'sweet, pleasant' MBh., miṣṭa-¹ 'dainty, sweet' MBh. [√mr̥j or √mr̥ś]
10323	mḗdas	1	2	grease	míi [marrow; animal fat]	míi~	myú~	mií~	míi~			gil:301; koh:302; gur:303; Astor:304	10323 mḗdas n. 'fat, marrow' RV., mēda- m. 'fat' R.
10394	yákr̥t-,	1	2	liver	ǰhangaár [liver]	yúum	yúu~	yúu~	yúu~			gil:102; koh:103; gur:104; Astor:105	10394 yákr̥t-, gen. yaknás n. 'liver' RV.
10412	yantrá	2	2	spinning wheel	yáandr [mill]			yo~ṣ				gur:374	10412 yantrá n. 'controlling device' RV., 'any implement or contrivance' MBh., yantraka- n. 'handmill' Hcat. [√yam]
10442	yavyā́	2	2	irrigation channel	yáab [irrigation canal]	yap	yab	yab	yap			gil:319; koh:320; gur:321; Astor:322	10442 yavyā́ f. 'stream' Naigh. (in yavyā́vatī- 'a place-name' RV.?). 2. *yaviyā́-.
10452	yā́ti	1	2	to walk	yhíi [to come, arrive; become, come into existence]	yayoók						gil:965	10452 yā́ti 'goes, approaches, comes to' RV. [√yā]
10652	rásati	1	3	to say		rayoók						gil:934	10652 rásati¹ 'yells' ŚBr., 'praises' Naigh. [√ras¹]
10702	rā́trī	1	2	night	raát [night (as a measure of time); 24-hour period]	ráati	ráati	ráati	ráati			gil:536; koh:537; gur:538; Astor:539	10702 rā́trī f. 'night' RV.
10978	lavaṇá	3	3	salt	lhoóṇ [salt]		luúṇi	luúṇi				koh:357; gur:358	10978 lavaṇá n. 'salt' AV., adj. 'salty' MBh. [J. Charpentier IL ii 55 &lt; *ravaṇa-. — Rather MIA. &lt; lavana- (cf. láva-¹) and lūna- (cf. Pk. lūṇa-) '*piece of rock-salt' (J. C. W.)]
10988	lavítra	2	3	sickle		leéc̣	léec̣i					gil:361; koh:362	10988 lavítra n. 'sickle' Pāṇ. [√lū]
11009	lāṅgūlá	3	3	tail	laméeṭi [tail]		lamṭoó	lamóoṭu; lamṭoó	lamóṭi			koh:766; gur:767; gur:768; Astor:769	11009 lāṅgūlá (lāṅgula- Pañcat., laṅgula- lex.) n. 'tail' ŚāṅkhŚr., adj. 'having a tail' MBh., 'penis' lex. 2. *lāṅguṭa-. 3. *lāṅguṭṭa-. 4. *lāṅguṭṭha-. 5. *lēṅgula-. 6. *lēṅguṭṭa-. [Cf. lañja-². — Variety of form attests non-Aryan origin: PMWS 112 (with lakuṭa-) ← Mu., J. Przyluski BSL 73, 119 ← Austro-as.]
11302	vayám	2	2	we	be [we (1pl nom)]	be; bes	be	beʔ	be; bes			gil:1281; gil:1282; koh:1283; gur:1285; Astor:1286; Astor:1287	11302 vayám 'we' RV.
11392	varṣá	2	2	year	báaṣ [rain]; béeriṣ [summer]	baríš						gil:580	11392 varṣá n. 'rain' RV., pl. 'the Rains' AV. 2. 'year ŚBr. [√vr̥ṣ]
11572	vā́la	1	2	hair	bóolu [(straw of) hair]		báal	báal				koh:74; gur:75	11572 vā́la m. 'hair of tail, tail, hair' TS., vālaka- m. 'tail of horse or elephant' lex. [~ vā́ra-¹]
11616	viṁśatí	3	3	twenty	bhiíš [twenty; the twenty sth or people]	bií	bií	bií	bií			gil:1175; koh:1176; gur:1177; Astor:1178	11616 viṁśatí f. '20' RV., viṁśat-, viṁśa- (in cmpds.) MBh.
12051	vīdhrá	2	2	blue sky	beedhríi [to clear up (about sky)]	béej̣i	bíẓi	béj̣u				gil:390; koh:391; gur:392	12051 vīdhrá n. 'clear sky, sunshine' AV. 2. vī́dhrya- 'relating to the clear sky' VS. 3. *vīdhriya-. 4. *vaidhriya-. [*īdhra-]
12064	vr̥kká	2	2	kidney	bhruk [kidney]	j̣uk; ẓuk	ẓuúk	j̣úuk	j̣uk			gil:89; gil:90; koh:91; gur:92; Astor:93	12064 vr̥kká m. du. 'kidneys' AV., vŕ̥kya- TS., vr̥kkā- f. 'heart' lex. 2. *vrakka-. 3. bukka-¹ n. 'heart', °kan- m. lex., °kā- f. Mr̥cch., būkka- n. lex., būkhan- n. Col. [Meaning and initial v- are confirmed by Av. vərət̰ka-, Pers. gurda 'kidney'. vr̥kkā- 'heart' is X non-Aryan bukka- 'intestines (heart, liver, lungs, &amp;c.)' which in its turn in NW. (Tor. K. L. WPah.) and M. gained mng. 'kidney' (com. on Amarakośa ii 6, 64 s.v. bukkāgramāṁsa- appears to refer to kidneys confused with heart and liver). RV. vr̥kkḗ (Padap. vr̥kkáḥ) 'in belly' is poss. a hyper-vedic substitution for bukka- (J. C. W.). — Cf. *bōkk-]
12233	vrīhí	2	2	rice (paddy)					briú~			Astor:1416	12233 vrīhí m. 'rice' AV. [→ Par. ráhö, rahṓ 'husked rice' IIFL i 284]
12278	śatá	2	2	hundred		šal	šal	šal	šal			gil:1064; koh:1065; gur:1066; Astor:1067	12278 śatá n. '100' RV.
12323	śáyana	1	3	bed	šíin [bed (charpoy, string bed)]	šéen	šen					gil:256; koh:257	12323 śáyana n. 'lying down, bed' ŚBr. [→ Par. šīnā́ 'cradle' IIFL i 290. — √śī]
12326	śaraṇá	3	3	roof			šaróon	šarún	šarín			koh:352; gur:353; Astor:354	12326 śaraṇá² 'protecting', n. 'shelter, home' RV. 2. *śarṇa-. [√śar]
12329	śarád	2	2	autumn	šaraál [autumn]	šaróo	šaryóo	šaróo	šaróo			gil:444; koh:445; gur:446; Astor:447	12329 śarád f. 'autumn' RV., śarada- in cmpd. Pāṇ., śaradā- f. lex. 2. *śaradda-.
12487	śītalá	3	3	cold; fever	šidáalu [cold]	šidálo; šaál	šaál					gil:998; gil:1351; koh:1352	12487 śītalá 'cold' MBh. [śītá-¹]
12492	śīná	2	2	snow		hin	hin	hin	hin			gil:417; koh:418; gur:419; Astor:420	12492 śīná¹ 'frozen, congealed' Pāṇ., n. 'ice' VS. [~ śītá-. — √śyai]
12497	śīrṣá	2	2	head	ṣiṣ [head; hair]	ṣiṣ	ṣiṣ	ṣiíṣ	ṣiíṣ			gil:80; koh:81; gur:82; Astor:83	12497 śīrṣá n. 'head, skull' AV. [śīrṣán- n. RV. — śíras-]
12548	śúṣka	1	2	dry	šúša [to dry (out)]	súkho	šúkho	šúku	šúku			gil:1003; koh:1004; gur:1005; Astor:1006	12548 śúṣka 'dried' RV., śuṣkaka- R. [√śuṣ¹]
12583	śŕ̥ṅga	1	2	horn	ṣing [horn]	ṣíṅo	ṣígo	šíṅu	ṣíṅ			gil:721; koh:722; gur:723; Astor:724	12583 śŕ̥ṅga n. 'horn' RV. [See *śrū-, *śruṅka-]
12619	śṓka	1	2	ashes			šóo					koh:255	12619 śṓka m. 'heat, pain, sorrow' RV. (śōká- 'hot' AV.). [√śuc]
12753	śváśura	1	3	father-in-law	šúur [father-in-law; husband's or wife's father]	šáyur	šéer	šéer	šáwur			gil:183; koh:184; gur:185; Astor:186	12753 śváśura m. 'husband's father' RV., 'wife's father' Sū., 'husband's or wife's father' cl., śvaśuraka- m. 'a poor or dear father-in-law' Pañcat.
12759	śvaśrū́	2	2	mother-in-law	preṣ [mother-in-law; husband's or wife's mother]	šaṣ	šaṣ	šaš; ṣaṣ	ṣaṣ			gil:213; koh:214; gur:215; gur:216; Astor:217	12759 śvaśrū́ f. 'husband's or wife's mother' RV.
12774	śvētá	2	2	white			šóo	šóo	šéeo			koh:1188; gur:1189; Astor:1190	12774 śvētá 'white' RV. [√śvit]
12803	ṣáṣ-,	1	1	six	ṣo [six]	ṣa	ṣa	ṣa	ṣa			gil:1133; koh:1134; gur:1135; Astor:1136	12803 ṣáṣ-, nom. ṣáṭ 'six' RV. 2. *ṣuvaṭ. 3. *kṣaṭ or *kṣvaṭ.
12815	sá¹,	1	1	he; they (m., dist., pl.?)	so [the; that (agr: rem nom masc)]			so; ses				gur:1200; gur:1238	12815 sá¹, sṓ nom. sg. m. pron. and pronom. adj. 'he, that', sā́ f. RV.: n., pl., and obl. forms from tá-. [sṓ &lt; sá u; *sē, the extension of which does not exactly agree with that of -ē &lt; -aḥ, is &lt; *sá ī or is MIA. &lt; RV. sḗd (sá íd) Pischel GrPk 299 or sḗm (sá īm). Forms in Kaf. and Dard. G. Morgenstierne IL v 361 ff.]
13139	saptá	2	2	seven	sáat [seven]	sat	sat	sat	sat			gil:1121; koh:1122; gur:1123; Astor:1124	13139 saptá '7' RV.
13386	síkatā	1	3	sand	sígal [sand (fine, black)]	sígal	sígal					gil:626; koh:627	13386 síkatā f. 'grain of sand', (usu. pl.) 'sand, gravel' VS., sigatā- f. Kap. [Collective formation from sika- in śvēta-sika-druka- 'scattering white sand' TĀr. 1. 12. 3 A. Sharma in Bhārata-kaumudī 873. Kaf. and some Dard. forms attest IA. ś- corresponding to Ir. θ- and s- (OPers. θikā-, Bal. six, Psht. šəga, &amp;c. EVP 73) and support E. Benveniste BSL xxx 60 in assumption that s- forms of Sk. and other Dard. languages and WPah. (which distinguish ś and s) are loans from or influenced by Iranian. Variations in Kaf. and Dard. of -g- ~ -k- and -l- ~ -t- may be due to borrowings within that group or to later Ir. influences or they may, in part at least, be due to suffix. variation like that of síkatā- ~ *sikatī- (in sikatyà- VS.) ~ siktā- lex. ~ *sikyā-]
13415	síndhu	1	2	river		sin	sin	sin	sin			gil:618; koh:619; gur:620; Astor:621	13415 síndhu f. 'river, the Indus', m. 'flow (in general), sea' RV.
13519	suvárṇa	2	3	gold		soṇ	soóṇ	soóṇ	soná			gil:1370; koh:1371; gur:1372; Astor:1373	13519 suvárṇa 'of bright colour, golden' RV., n. 'gold' AV., suvarṇaka- 'golden' Hariv. 2. saúvarṇa- 'golden' ŚrS., n. 'gold' MBh. — In many cases it is impossible to distinguish whether a NIA. form is derived from suvárṇa- or saúvarṇa-: they are therefore listed below together. [su-², várṇa-¹]
13574	sū́ra	1	2	sun; day	súuri [sun]	súuri	súuri	súuri	súuri			gil:425; koh:426; gur:427; gur:455; Astor:428	13574 sū́ra m. 'sun' RV. 2. sū́rya- m. 3. sū́riya- m. (metr.) RV. 4. sūrī- f. 'a name of Kuntī as wife of the  sun' Pāṇ.vārtt. 5. saurī́- (f. of saura- 'relating to the sun' MaitrUp.) f. 'wife of the sun' W., 'a name of Tapatī daughter of the sun' MBh. [svàr-]
13576	sŕ̥kvan	1	2	neck	ṣáak [rear shoulder]	ṣak	ṣak	ṣak	ṣak			gil:114; koh:115; gur:116; Astor:117	13576 sŕ̥kvan m. 'corner of mouth' RV., n. du. (sr̥kvaṇī, sr̥kkaṇī, whence acc. sg. sr̥kkaṇīm Kathās., du. sr̥kkanyau Suśr.) MBh., sr̥kva- (sr̥kka- n. lex.) m. or n. Suśr., sr̥kvi- n. lex., n. du. (sr̥kviṇī, sr̥kkiṇī, whence acc. sg. sr̥kviṇīm MBh. v.l., Pañcat.) MBh. 2. srákva- m. or n. 'corner of mouth, jaws' RV.
13627	skandhá	2	2	shoulder	káand [shoulder]		kaṇíi					koh:133	13627 skandhá m. 'shoulder, upper part of back' AV., 'trunk of tree, mass (esp. of an army)' MBh., skándhas- n. 'branching top of a tree' RV. [Absence of any trace of initial s- in Kafiri and Dardic supports possibility of IA. *kandha- beside sk° (unnecessarily assumed in ODBL 438 for NIA. k- which is dissim. from kh- before dh as prob. in Aś. agi-k{h}aṁdha-)]
13801	snuṣā́	2	2	daughter-in-law		nuúṣ	nuúṣ	nuúṣ	nuúṣ			gil:169; koh:170; gur:171; Astor:172	13801 snuṣā́ f. 'son's wife' AV.
13839	*sphiyá-,	2	2	shoulder; mattock (hoe)		phíco; phyóo~li	phíjo; pheélo	phíjo; phyóo~li	phéelo			gil:127; gil:331; koh:128; koh:332; gur:129; gur:333; Astor:134	13839 *sphiyá-, sphyá- '*scapula'. 2. m. 'flat piece of wood for stirring offerings of boiled rice or for trimming mound used as altar' AV., 'boom, spar' ŚBr., m.n. 'a kind of oar' R. [Both meanings in Ir. *phiya-: Wkh. fiáh 'shoulderblade', Shgh. fyak, Kurd. pil, pāwl 'shoulder' ~ Wkh. péi 'shovel', Sar. Ishk. féi, Shgh. fe: cf. K. L. Janert KZ 79, 89-111.
13913	svásr̥	1	2	sister		sa	sas	sas	sas			gil:226; koh:227; gur:228; Astor:229	13913 svásr̥ f. 'sister' RV. [For phonology of svásr̥- and distribution of it and bhaginī- see AO xxi 27 ff.]
14000	halá	2	2	plow	haál [plough]	hal	hal	hal	hal			gil:348; koh:349; gur:350; Astor:351	14000 halá¹ m.n. 'plough' MBh., hali- m. Daś.
14024	hásta	1	2	hand	haát [hand]	hat	hat	hat	hat			gil:76; koh:77; gur:78; Astor:79	14024 hásta m. 'hand' RV., 'forearm as measure of length' VarBr̥S.
14152	hŕ̥daya	1	3	heart	híṛu [heart]	híyo	hyúu	híi; híiu	hyúu			gil:84; koh:85; gur:86; gur:87; Astor:88	14152 hŕ̥daya n. 'heart' RV. [hr̥d-]
