source_key	jambu_id	id_basis	headword	gloss	tags	accent_type	turner	first_proto_form	proto_accent_nucleus	proto_nuclei	etymology	inflection
liljegren-LX002079	f_cbtud35ei4zo6	source-key alias	širínga	to rattle	verb intr Palula-verb-class-L-consonant	short-or-diphthong				0		Inflection: L:cons (Prs): širingáanu, (Pfv): širingílu, (Cv): širingí, (Imp): širíng; Morphemic form: širíng-
liljegren-LX002080	f_2nrdoji6j347c	source-key alias	širingóo	to shake, rattle	verb tr Palula-verb-class-L-a	first-mora				0		Inflection: L:a (Prs): širingaáanu, (Pfv): širingóolu, (Cv): širingaá, (Imp): širingá; Morphemic form: širíng-á-
liljegren-LX002081	f_7ddiws534fawu	source-key alias	široó bhíi	to begin, break out	verb intr compound conjunct-verb incorporating loanword loan:Arabic loan:Urdu	multiple		Origin:		2	Origin: Urdu (Arabic): šuruu	
liljegren-LX002082	f_uxxrkrgrnv6uc	source-key alias	široó thíi	to start	verb tr compound conjunct-verb incorporating	multiple				0		
liljegren-LX002083	f_s7hyhslyitpre	source-key alias	šišáki	ogress; female mythical being	noun f Palula-noun-class-m	short-or-diphthong				0		Inflection: m-decl (Pl): -m
liljegren-LX002084	f_7fvsosyu2vpuk	source-key alias	šišawaár	beauty	noun f Palula-noun-class-i	second-mora				0		Inflection: i-decl (Obl, pl): šišaweerí
liljegren-LX002085	f_f2ix3lgckfyla	source-key alias	šišáwu	beautiful	adj	short-or-diphthong	12642	śṓśucat-	1	3	śṓśucat- 'shining brightly' (T: 12642) ; *suśōbha- 'splendid' (T: 13534)	Inflection: Reg (Fem): šišáwi
liljegren-LX002086	f_hwj6rpwrlypzu	source-key alias	šiší	Shishi (Valley)	noun f proper-noun	short-or-diphthong				0		
liljegren-LX002087	f_obgo2jxho7isk	source-key alias	šišoó	game; playing	noun m	second-mora				0		
liljegren-LX002088	f_klzzqkayvhn5m	source-key alias	šišoó thíi	to play	verb tr compound conjunct-verb non-incorporating	multiple				0		Restriction: Masc agr with non-verb element in pfv; post obj with sanɡí
liljegren-LX002089	f_vgwb5gzlmbvc6	source-key alias	šóo	good	adj	first-mora	12532	śubha-		2	śubha- 'bright, auspicious; good; anything bright, welfare (neut)' (T: 12532)	Inflection: Irr (Masc Pl agr): šóoa, (Fem): šuí, (Fem Pl agr): šuíim
liljegren-LX002090	f_62f5tk6f5m3y6	source-key alias	šóo	edible plant or vegetable (generic)	noun m Palula-noun-class-a	first-mora	12370	śāka-		2	śāka- 'potherb, vegetable (neut)' (T: 12370)	Inflection: a-decl (Obl): -a
liljegren-LX002091	f_jnfxkacjjprng	source-key alias	šóo ǰhóona	to like, be fond of	verb tr compound conjunct-verb non-incorporating	multiple				0		Restriction: Masc agr with non-verb element in pfv; postpositional object with the
liljegren-LX002092	f_qsdzbdqqu63ck	source-key alias	šóol	grass storage; sheaf	noun m Palula-noun-class-a	first-mora				0		Inflection: a-decl (Obl, pl): -a; Morphemic form: šáal
liljegren-LX002093	f_meems6e5ejkpm	source-key alias	šóong	branch (of tree)	noun m Palula-noun-class-a	first-mora	12260	śan̆kú-	2	2	śan̆kú- 'peg, spike; stake, post; stick, arrow (masc)' (T: 12260)	Inflection: a-decl (Obl, pl): -a; Morphemic form: šáang
liljegren-LX002094	f_uhbpd5owwrvgw	source-key alias	šoóṇu	three year old male goat	noun m Palula-noun-class-a	second-mora				0		Inflection: a-decl (Obl, Pl): šoóṇa
liljegren-LX002095	f_svjchzsa3mnha	source-key alias	šoorúṇḍu	orphan (male)	noun m Palula-noun-class-a	short-or-diphthong	12618	*śōruṇḍa-		3	*śōruṇḍa- 'orphan' (T: 12618)	Inflection: a-decl (Obl, pl): šoorúṇḍa
liljegren-LX002096	f_5pyfck6phx4ii	source-key alias	šópu	navel	noun m Palula-noun-class-a	short-or-diphthong				0		Inflection: a-decl (Obl, pl): šópa
liljegren-LX002097	f_u7wnbccr3b6my	source-key alias	šúdu	ended, finished (masc sg)	verb intr	short-or-diphthong				0		
liljegren-LX002098	f_veyyvxlacjc6o	source-key alias	šuéeli	goodness	noun f Palula-noun-class-m	first-mora				0		Inflection: m-decl (Pl): -m
liljegren-LX002099	f_qcaqqi6gwkciy	source-key alias	šuéeli thíi	to show goodness	verb tr compound conjunct-verb non-incorporating	multiple				0		Restriction: Fem agr with non-verb element in pfv; postpositional object with sanɡí
liljegren-LX002100	f_ybsf7dnqow2mq	source-key alias	šuí	good (fem)	adj	short-or-diphthong				0		
liljegren-LX002101	f_fi6iliwxazzqg	source-key alias	šuí baát	good news; good stuff	multiword-expression	multiple				0		
liljegren-LX002102	f_6sabgj5gxdzaa	source-key alias	šúǰa	to end, finish	verb intr Palula-verb-class-T	short-or-diphthong				0		Inflection: T (Prs): šuǰáanu, (Pfv): šúdu, (Cv): šuǰí; Morphemic form: šuǰ-, šud-
liljegren-LX002103	f_zi6sl2a7dlh76	source-key alias	šukhaáu	long wollen coat (locally made and used in the winter)	noun m Palula-noun-class-i loanword loan:Khowar loan:Turkish	second-mora		Origin:		2	Origin: Khowar (Turkish): šuqa	Inflection: i-decl (Obl, pl): šukheewí, šukheeí
liljegren-LX002104	f_ivtfhgzb25zt2	source-key alias	šúku	dried (out) (masc sg)	verb intr	short-or-diphthong				0		
liljegren-LX002105	f_ivtfhgzb25zt2	unique cited original and full etymology	šúku	dry	adj	short-or-diphthong				0		Inflection: Reg (Fem): šúki
liljegren-LX002106	f_5qjno7fsnbvuk	source-key alias	šum	stingy	adj indecl loanword loan:Arabic loan:Urdu	implicit-short		Origin:		2	Origin: Urdu (Arabic): šuum	
liljegren-LX002107	f_33u2ysymosbc2	source-key alias	šumaalí	northern	adj indecl loanword loan:Arabic loan:Urdu	short-or-diphthong		Origin:		2	Origin: Urdu (Arabic): šamaal, šimaal	
liljegren-LX002108	f_d6oho7dkvavmi	source-key alias	šumaáṇ	trouser-cord	noun f Palula-noun-class-i	second-mora	13878	syū́man-	1	2	syū́man- 'band, thong, bridle (n)' (T: 13878)	Inflection: i-decl (Obl, pl): šumaṇí
liljegren-LX002109	f_l3bc3kb34cbl2	source-key alias	šúmu	parrot	noun m Palula-noun-class-a	short-or-diphthong				0		Inflection: a-decl (Obl, pl): šúma
