turner	proto_headword	proto_accent_nucleus	proto_nuclei	source_glosses	palula	gil	koh	gur	Astor	dr	bro	source_rows	proto_entry
9029	plúṣi	1	2	flea	príiṇṣu [flea]			príij̣o	príiẓu			gur:705; Astor:706	9029 plúṣi m. 'a partic. noxious insect, (prob.) flea' RV. 2. *pruṣi- 3. *pruci-. 4. *pricu-. 5. *priṣu-. 6. *praṣu- (or *prāṣu-: X prāśú- 'very quick' RV.??). [Variety of forms due to alteration, throu h taboo, of the name of a noxious insect, as in other IE. languages EWA ii 386 with lit. — See Add.]
9083	*phuṅga		2	moustache	phúngu [moustache; whisker]	phúṅe	phúgo	phúu~ṅɨ	phúṅi			gil:106; koh:107; gur:108; Astor:109	9083 *phuṅga 'mustache'. [Scarcely with AO viii 307 &lt; *spaṁśuka- ~ śmáśru-. Cf. *juṅgha-]
9193	bahura		3	many			láa	láa	láa			koh:1083; gur:1084; Astor:1085	9193 bahura 'much, thick' AitBr. [~ bahulá-. — bahú-]
9209	*bāppa		2	father	báabu [father]	baábo	bubáa		baábo			gil:176; koh:177; Astor:178	9209 *bāppa 'father'. 2. *bābba-. [Cf. *bā-. — Nursery words]
9216	bālá	2	2	child		baál	baál		baál			gil:160; koh:161; Astor:162	9216 bālá 'young' Gr̥S., 'foolish' Mn., m. 'boy (under five years old)' Mn., °aka- adj. and sb. MBh., m. 'fool' lex., bālā- f. 'girl (esp. under sixteen years old)' Mn. [Despite the various etymologies listed in EWA ii 426, it perh. belongs to the 'defective' group s.v. baṇḍá- which proprovides, like other 'defective' groups, several words for 'child', e.g. *bāḍa- in Paš. bāṛā 'boy', bāṛī 'girl', *bāḍḍa- in G. bāḍuvā̃ 'poor simple little children': note esp. the meanings 'ignorant, fool' in Pa. Pk.]
9250	bī́ja	1	2	seed	bíi [seed]	bíi	bíi	bíi	bíi			gil:837; koh:838; gur:839; Astor:840	9250 bī́ja n. 'seed, semen' RV., bījaka- n. Suśr.
9303	bŕ̥haspáti	1,3	4	Thursday		bréspat			bréspat			gil:474; Astor:475	9303 bŕ̥haspáti m. 'name of a deity' RV., 'the planet Jupiter' R. [√br̥h¹, páti-]
9305	br̥haspativāra		6	Thursday				brestvaár				gur:476	9305 br̥haspativāra m. 'Thursday' MW. [bŕ̥haspáti-, vāra-²]
9322	baudha		2	Wednesday		bóodo			bóodo			gil:471; Astor:472	9322 baudha 'relating to the planet Mercury' Sūryas., (with ahar-) 'Wednesday' Viṣṇ. [Der. budhá- 'wise' Mn., m. 'Mercury' MBh., budhē 'on Wednesday' lex. — √budh]
9330	*bhakkha		2	bull	bhakúlu [fat, thick; strong]		bhaák					koh:661	9330 *bhakkha 'lump'. 2. *bhikkha-.
9550	*bhūcala		3	earthquake		bu~yá~l		mu~yál				gil:591; gur:593	9550 *bhūcala 'earth tremor'. [bhū́-, cala-²]
9568	bhū́yiṣṭha	1	3	all (countable); all (uncountable)		búṭo; búṭa	búṭa	búṭɨ				gil:975; gil:977; koh:978; gur:979	9568 bhū́yiṣṭha 'most numerous, chief' RV., bhū́yiṣṭham adv. 'mostly' ŚBr. [bhū́yas. — √bhū]
9660	bhrāturjāyā		4	brother's wife	bhraaǰái [sister-in-law; brother's wife]	jajeé	jaẓá		jaj̣eé			gil:156; koh:157; Astor:158	9660 bhrāturjāyā f. 'brother's wife' lex., [bhrātr̥jāyā- f. Kālid. — bhrā́tr̥-, jāyā́-]
9661	bhrā́tr̥	1	2	brother	bhróo [brother; cousin, member of one's own tribe]	ẓáa	ẓáa	j̣áa	ẓáa			gil:152; koh:153; gur:154; Astor:155	9661 bhrā́tr̥ m. 'brother' RV., bhrātr̥ka- m. Kālid.
9691	ma		1	I	ma [I (1sg nom, subject), me (1sg direct object)]	ma; mas	mo; mo~	muʔ				gil:1208; gil:1209; koh:1210; koh:1211; gur:1212	9691 ma base of singular oblique cases of 1st person pronoun: acc. mā́m, inst. máyā, dat. máhyam, gen. máma, encl. mē.
9828	manuṣyà		3	man	míiš [man; person]	mušáa	mušáa	mušáa; mišáa	mušáa			gil:195; koh:196; gur:197; gur:198; Astor:199	9828 manuṣyà 'human', m. 'human being, man' RV. [Collides in various degrees with púruṣa- and also has various degrees of shortening, due prob. to use as a term of relationahip and address. — mánuṣa-]
9926	masta		2	brain		máto	mótho	mótu	máto			gil:25; koh:26; gur:27; Astor:28	9926 masta m. 'head' Dhūrtas., mástaka- m.n. 'head, skull' Mn., mastika- n. lex. 2. *mastra-. 3. mastuluṅga- m. (n.?) 'brain' Suśr., mastakaluṅga- m. or n. 'membrane of brain' lex. 4. mastíṣka- 'cranium' RV. [Orig. heteroclite declension: *másti or *mástr̥g nom. ~ *mastnás gen. whence másta-ka- &lt; *mastn̊-ka-, *mastr-a- or *mastrr̥-ka-, combined in *mastr̥ṅga- &gt; MIA. mastuluṅga- (?) as in Av. mastrəγan- m. 'temples' (~ mastíṣka- &lt; *mast-ə-s-) WP ii 309, EWA ii 606 with lit.]
9935	mahallaka		4	father; mother's brother	mháalu [father; parent]	maálo; moól	maálo; mahuúl	maálu				gil:173; gil:211; koh:174; koh:212; gur:175	9935 mahallaka 'old, feeble' Lalit., mahalla-, °lika- m. 'eunuch in a king's palace', mahallikā- f. nom. prop. [mahā́nt-]
9982	māṁsá	2	2	flesh	mhaás [meat, piece of flesh]	moós	moós	moós	moós			gil:62; koh:63; gur:64; Astor:65	9982 māṁsá n. 'flesh', māṁs- in cmpds., mā́s- n. RV.
9989	mākṣiká	3	3	honey	meec̣hí [honey]	mac̣híi	mac̣íi	mac̣híi	mac̣híi			gil:310; koh:311; gur:312; Astor:313	9989 mākṣiká 'pertaining to a bee' MārkP., n. 'honey' Suśr. 2. *mākṣa-. [mákṣā-]
10016	mātŕ̥	2	2	mother		maá~	maá~	máa~				gil:204; koh:205; gur:206	10016 mātŕ̥ f. 'mother' RV., mātr̥kā- f. Kāv.
10055	māma		2	mother's brother	maamaá [uncle; mother's brother]	máamo	mamáa	múumu̥	móomo			gil:207; koh:208; gur:209; Astor:210	10055 māma m. 'uncle' Pañcat., °aka- m. lex. [Nursery word: similar words in Drav. DED 3945]
10104	mā́sa	1	2	month		máaz	móos	móos	móos			gil:498; koh:499; gur:500; Astor:501	10104 mā́sa m. 'moon, month' RV., °aka m. Sūryas. [mā́s-]
10158	múkha	1	2	face		mukh	muk	muk	mukh			gil:49; koh:50; gur:51; Astor:52	10158 múkha n. 'mouth, face' RV., 'entrance' MBh.
10187	*muṭṭa		2	tree	muṭ [tree]	múṭo	múṭho					gil:841; koh:842	10187 *muṭṭa¹ 'defective'. 2. *muṭṭha-¹. 3. *muṭṭhara-. 4. *muḍa-. 5. *muḍḍa-. 6. *muḍḍha-¹ (cf. mūḍhá-). 7. *muṇṭa-. 8. *muṇṭara-. 9. *muṇḍha-. 10. *muṇḍhara-. 11. *mōṭṭa-¹. 12. *mōṭṭha-. 13. *mōṭṭhara-. 14. *mōḍḍa-. 15. *mōṇḍa-. [A 'defective' word-group to which also muṇḍa-¹ belongs. — Cf. *mutta-: see list s.v. *maṭṭa-. — Cf. *muḍḍha-², *muṇḍa-² 'lump']
10221	muṣṭí	2	2	shoulder	múṣṭi [fist; shaft]; múṭi [arm]		muṭh	miṭhíj	miṭhíjo			koh:130; gur:131; Astor:132	10221 muṣṭí m.f. 'clenched hand, fist' RV., 'handful' ŚBr.
10244	mūrtá	2	2	curds		múuṭo dut	múutho dut					gil:270; koh:271	10244 mūrtá 'coagulated' TS., 'embodied' ŚBr. [~ *mūrṇa-². — √mūrch]
10250	mū́la	1	2	root	mulái [radish]	mulií						gil:836	10250 mū́la (mū́ra- AV.) n. 'root' RV., mūlaka- 'arising from' MBh., m.n. 'radish' Mn., mūlikā- f. 'root used in magic' Pañcat. 2. *mūḍa-. [Despite early occurrence and proposed connexion with Gk. μω̑λυ (IEW 750), variation of -l/r- ~ -ḍ- supports non-Aryan, perh. Drav., origin: cf. Tam. muḷā, muḷḷaṅki 'radish' &amp;c., DED 4105. Prob. only chance resemblance with L. and Bi. forms of MIA. muḍḍha- &lt; mūrdhán- with meaning of 'root']
10264	mr̥gá	2	2	bird	mring [markhor (generic)]	briṅ						gil:651	10264 mr̥gá m. 'wild animal, deer' RV. 2. mr̥gī- f. 'doe' R. 3. *mr̥gā-.
10299	mr̥ṣṭá	2	2	good		míṣṭo	míṣṭho	míṣṭhu	míṣṭhu			gil:1049; koh:1050; gur:1051; Astor:1052	10299 mr̥ṣṭá¹ 'rubbed, washed, pure' RV., 'prepared, savoury' R., 'sweet, pleasant' MBh., miṣṭa-¹ 'dainty, sweet' MBh. [√mr̥j or √mr̥ś]
10323	mḗdas	1	2	grease	míi [marrow; animal fat]	míi~	myú~	mií~	míi~			gil:301; koh:302; gur:303; Astor:304	10323 mḗdas n. 'fat, marrow' RV., mēda- m. 'fat' R.
10337	mēha		2	urine		miíke	mhiíki	múu~cu̥; myaakul	miíko			gil:147; koh:148; gur:149; gur:150; Astor:151	10337 mēha¹ m. 'urine' Mn. [ámēha- m. 'retention of urine' TS. — √mih¹]
10394	yákr̥t-,	1	2	liver	ǰhangaár [liver]	yúum	yúu~	yúu~	yúu~			gil:102; koh:103; gur:104; Astor:105	10394 yákr̥t-, gen. yaknás n. 'liver' RV.
10412	yantrá	2	2	spinning wheel	yáandr [mill]			yo~ṣ				gur:374	10412 yantrá n. 'controlling device' RV., 'any implement or contrivance' MBh., yantraka- n. 'handmill' Hcat. [√yam]
10442	yavyā́	2	2	irrigation channel	yáab [irrigation canal]	yap	yab	yab	yap			gil:319; koh:320; gur:321; Astor:322	10442 yavyā́ f. 'stream' Naigh. (in yavyā́vatī- 'a place-name' RV.?). 2. *yaviyā́-.
10452	yā́ti	1	2	to walk	yhíi [to come, arrive; become, come into existence]	yayoók						gil:965	10452 yā́ti 'goes, approaches, comes to' RV. [√yā]
10511	yuṣmad-,		2	you (sg.)	tus [you (2pl nom)]	tus						gil:1304	10511 yuṣmad-, nom. yūyám, acc. yuṣmā́n, gen. yuṣmā́kam pron. 2 pl., adj. yuṣmā́ka- RV.
10652	rásati	1	3	to say		rayoók						gil:934	10652 rásati¹ 'yells' ŚBr., 'praises' Naigh. [√ras¹]
10702	rā́trī	1	2	night	raát [night (as a measure of time); 24-hour period]	ráati	ráati	ráati	ráati			gil:536; koh:537; gur:538; Astor:539	10702 rā́trī f. 'night' RV.
10792	*ruṣṭa		2	morning		luṣṭikaál	loṣkí	lóoṣṭei~	lóoṣṭei~			gil:530; koh:531; gur:533; Astor:534	10792 *ruṣṭa² 'shining'. [√ruś]
10978	lavaṇá	3	3	salt	lhoóṇ [salt]		luúṇi	luúṇi				koh:357; gur:358	10978 lavaṇá n. 'salt' AV., adj. 'salty' MBh. [J. Charpentier IL ii 55 &lt; *ravaṇa-. — Rather MIA. &lt; lavana- (cf. láva-¹) and lūna- (cf. Pk. lūṇa-) '*piece of rock-salt' (J. C. W.)]
10988	lavítra	2	3	sickle		leéc̣	léec̣i					gil:361; koh:362	10988 lavítra n. 'sickle' Pāṇ. [√lū]
10995	*lasta		2	down(hill)					laáṭhi			Astor:488	10995 *lasta 'stuck, slipped, descended'. [Cf. lastaka- m. 'middle part of a bow which is held' lex.? — √*las²]
11009	lāṅgūlá	3	3	tail	laméeṭi [tail]		lamṭoó	lamóoṭu; lamṭoó	lamóṭi			koh:766; gur:767; gur:768; Astor:769	11009 lāṅgūlá (lāṅgula- Pañcat., laṅgula- lex.) n. 'tail' ŚāṅkhŚr., adj. 'having a tail' MBh., 'penis' lex. 2. *lāṅguṭa-. 3. *lāṅguṭṭa-. 4. *lāṅguṭṭha-. 5. *lēṅgula-. 6. *lēṅguṭṭa-. [Cf. lañja-². — Variety of form attests non-Aryan origin: PMWS 112 (with lakuṭa-) ← Mu., J. Przyluski BSL 73, 119 ← Austro-as.]
11168	*lōhila		3	blood; red	lhoílu [red; money (substantivized in plural; i.e. red like the 100 rupee note)]	léel; loólyo	léel; lhiílo	léel; loólu	léel; loólo			gil:17; gil:1108; koh:18; koh:1109; gur:19; gur:1110; Astor:20; Astor:1111	11168 *lōhila 'red'. [lōhá-]
11221	*vaḍabhidaṇḍa		5	person		manúj̣o	manúuẓo	manúuj̣u	manúuẓo			gil:222; koh:223; gur:224; Astor:225	11221 *vaḍabhidaṇḍa or *valadaṇḍa- 'ridge-pole'. [vaḍabhi- or vala-, daṇḍá-]
11225	vaḍra		2	big		báṛo	báṛo	báṛu	báṛo			gil:982; koh:983; gur:984; Astor:985	11225 vaḍra 'big' lex. [Scarcely with F. Edgerton JAOS 60, 229 &lt; vr̥ddhá-]
11302	vayám	2	2	we	be [we (1pl nom)]	be; bes	be	beʔ	be; bes			gil:1281; gil:1282; koh:1283; gur:1285; Astor:1286; Astor:1287	11302 vayám 'we' RV.
11348	*varta		2	stone	báaṭ [stone, rock]	baṭ	baṭ	baṭ	baṭ			gil:634; koh:635; gur:636; Astor:637	11348 *varta³ 'round stone'. 2. *vārta-. [Cf. Kurd. bard 'stone'. — √vr̥t¹]
11392	varṣá	2	2	year	báaṣ [rain]; béeriṣ [summer]	baríš						gil:580	11392 varṣá n. 'rain' RV., pl. 'the Rains' AV. 2. 'year ŚBr. [√vr̥ṣ]
11480	vāṭa		2	field		bári						gil:288	11480 vāṭa¹ m. 'enclosure, fence' MBh., vāṭī- f. 'enclosed land' BhP., vāṭikā- f. 'enclosure, garden' Kathās. [Early east MIA. &lt; *vārtra-. — √vr̥¹].
11572	vā́la	1	2	hair	bóolu [(straw of) hair]		báal	báal				koh:74; gur:75	11572 vā́la m. 'hair of tail, tail, hair' TS., vālaka- m. 'tail of horse or elephant' lex. [~ vā́ra-¹]
11616	viṁśatí	3	3	twenty	bhiíš [twenty; the twenty sth or people]	bií	bií	bií	bií			gil:1175; koh:1176; gur:1177; Astor:1178	11616 viṁśatí f. '20' RV., viṁśat-, viṁśa- (in cmpds.) MBh.
11626	*vikālakāla		5	evening			beláa; beláaṛ					koh:495; koh:496	11626 *vikālakāla 'eventide'. [vikāla-, kālá-²]
11743	vidyutyà		3	lightning		bícuṣ	bícaṣ	bícuṣ	bícuṣ			gil:399; koh:400; gur:401; Astor:402	11743 vidyutyà 'existing in lightning' VS. [vidyút-]
12051	vīdhrá	2	2	blue sky	beedhríi [to clear up (about sky)]	béej̣i	bíẓi	béj̣u				gil:390; koh:391; gur:392	12051 vīdhrá n. 'clear sky, sunshine' AV. 2. vī́dhrya- 'relating to the clear sky' VS. 3. *vīdhriya-. 4. *vaidhriya-. [*īdhra-]
12052	*vīdhradhanus		4	rainbow		bijoón; biẓoón	biẓoón	bijoóni	bij̣oón			gil:1409; gil:1410; koh:1411; gur:1412; Astor:1413	12052 *vīdhradhanus 'bow in the clear sky'. [vīdhrá-, dhánus-]
12064	vr̥kká	2	2	kidney	bhruk [kidney]	j̣uk; ẓuk	ẓuúk	j̣úuk	j̣uk			gil:89; gil:90; koh:91; gur:92; Astor:93	12064 vr̥kká m. du. 'kidneys' AV., vŕ̥kya- TS., vr̥kkā- f. 'heart' lex. 2. *vrakka-. 3. bukka-¹ n. 'heart', °kan- m. lex., °kā- f. Mr̥cch., būkka- n. lex., būkhan- n. Col. [Meaning and initial v- are confirmed by Av. vərət̰ka-, Pers. gurda 'kidney'. vr̥kkā- 'heart' is X non-Aryan bukka- 'intestines (heart, liver, lungs, &amp;c.)' which in its turn in NW. (Tor. K. L. WPah.) and M. gained mng. 'kidney' (com. on Amarakośa ii 6, 64 s.v. bukkāgramāṁsa- appears to refer to kidneys confused with heart and liver). RV. vr̥kkḗ (Padap. vr̥kkáḥ) 'in belly' is poss. a hyper-vedic substitution for bukka- (J. C. W.). — Cf. *bōkk-]
12233	vrīhí	2	2	rice (paddy)					briú~			Astor:1416	12233 vrīhí m. 'rice' AV. [→ Par. ráhö, rahṓ 'husked rice' IIFL i 284]
12278	śatá	2	2	hundred		šal	šal	šal	šal			gil:1064; koh:1065; gur:1066; Astor:1067	12278 śatá n. '100' RV.
12323	śáyana	1	3	bed	šíin [bed (charpoy, string bed)]	šéen	šen					gil:256; koh:257	12323 śáyana n. 'lying down, bed' ŚBr. [→ Par. šīnā́ 'cradle' IIFL i 290. — √śī]
12326	śaraṇá	3	3	roof			šaróon	šarún	šarín			koh:352; gur:353; Astor:354	12326 śaraṇá² 'protecting', n. 'shelter, home' RV. 2. *śarṇa-. [√śar]
12329	śarád	2	2	autumn	šaraál [autumn]	šaróo	šaryóo	šaróo	šaróo			gil:444; koh:445; gur:446; Astor:447	12329 śarád f. 'autumn' RV., śarada- in cmpd. Pāṇ., śaradā- f. lex. 2. *śaradda-.
12487	śītalá	3	3	cold; fever	šidáalu [cold]	šidálo; šaál	šaál					gil:998; gil:1351; koh:1352	12487 śītalá 'cold' MBh. [śītá-¹]
12492	śīná	2	2	snow		hin	hin	hin	hin			gil:417; koh:418; gur:419; Astor:420	12492 śīná¹ 'frozen, congealed' Pāṇ., n. 'ice' VS. [~ śītá-. — √śyai]
12497	śīrṣá	2	2	head	ṣiṣ [head; hair]	ṣiṣ	ṣiṣ	ṣiíṣ	ṣiíṣ			gil:80; koh:81; gur:82; Astor:83	12497 śīrṣá n. 'head, skull' AV. [śīrṣán- n. RV. — śíras-]
12528	śuna		2	dog		šu~						gil:684	12528 śuna m. 'dog' lex. (poss. in śúnēṣita- ~ áśvēṣita- RV.), śunaka- m. 'puppy, dog' MBh. (śunya- n., °yā- f. 'a number of dogs' lex.). 2. śunī́- f. AV. 3. *śunakha-, sunakha- m. BHSk. (cf. sunaha- m. 'name of a son of Jahnu' Hariv. ~ śunaka- m. 'name of a r̥ṣi' MBh.). [śván-]
12548	śúṣka	1	2	dry	šúša [to dry (out)]	súkho	šúkho	šúku	šúku			gil:1003; koh:1004; gur:1005; Astor:1006	12548 śúṣka 'dried' RV., śuṣkaka- R. [√śuṣ¹]
12580	śr̥ṅkhala		3	chain		šiṅaáli			šaṅáli			gil:1321; Astor:1323	12580 śr̥ṅkhala m.n. 'chain' MārkP., °lā- f. VarBr̥S., śr̥ṅkhalaka- m. 'chain' MW., 'chained camel' Pāṇ. [Similar ending in mḗkhalā-]
12583	śŕ̥ṅga	1	2	horn	ṣing [horn]	ṣíṅo	ṣígo	šíṅu	ṣíṅ			gil:721; koh:722; gur:723; Astor:724	12583 śŕ̥ṅga n. 'horn' RV. [See *śrū-, *śruṅka-]
12619	śṓka	1	2	ashes			šóo					koh:255	12619 śṓka m. 'heat, pain, sorrow' RV. (śōká- 'hot' AV.). [√śuc]
12753	śváśura	1	3	father-in-law	šúur [father-in-law; husband's or wife's father]	šáyur	šéer	šéer	šáwur			gil:183; koh:184; gur:185; Astor:186	12753 śváśura m. 'husband's father' RV., 'wife's father' Sū., 'husband's or wife's father' cl., śvaśuraka- m. 'a poor or dear father-in-law' Pañcat.
12757	*śvaśuriya-,		4	wife's brother		šerií	šerií	šaerí	šairí			gil:239; koh:240; gur:241; Astor:242	12757 *śvaśuriya-, śvaśuryà- 'father-in-law's son' Pat., 'husband's younger brother' Kathās. 2. *śvāśuriya-, śvāśurya- Kathās. BSOAS xxiii 108. [Replaced older śvāśurá-. — śváśura-]
12759	śvaśrū́	2	2	mother-in-law	preṣ [mother-in-law; husband's or wife's mother]	šaṣ	šaṣ	šaš; ṣaṣ	ṣaṣ			gil:213; koh:214; gur:215; gur:216; Astor:217	12759 śvaśrū́ f. 'husband's or wife's mother' RV.
12774	śvētá	2	2	white			šóo	šóo	šéeo			koh:1188; gur:1189; Astor:1190	12774 śvētá 'white' RV. [√śvit]
12803	ṣáṣ-,	1	1	six	ṣo [six]	ṣa	ṣa	ṣa	ṣa			gil:1133; koh:1134; gur:1135; Astor:1136	12803 ṣáṣ-, nom. ṣáṭ 'six' RV. 2. *ṣuvaṭ. 3. *kṣaṭ or *kṣvaṭ.
12815	sá¹,	1	1	he; they (m., dist., pl.?)	so [the; that (agr: rem nom masc)]			so; ses				gur:1200; gur:1238	12815 sá¹, sṓ nom. sg. m. pron. and pronom. adj. 'he, that', sā́ f. RV.: n., pl., and obl. forms from tá-. [sṓ &lt; sá u; *sē, the extension of which does not exactly agree with that of -ē &lt; -aḥ, is &lt; *sá ī or is MIA. &lt; RV. sḗd (sá íd) Pischel GrPk 299 or sḗm (sá īm). Forms in Kaf. and Dard. G. Morgenstierne IL v 361 ff.]
13139	saptá	2	2	seven	sáat [seven]	sat	sat	sat	sat			gil:1121; koh:1122; gur:1123; Astor:1124	13139 saptá '7' RV.
13386	síkatā	1	3	sand	sígal [sand (fine, black)]	sígal	sígal					gil:626; koh:627	13386 síkatā f. 'grain of sand', (usu. pl.) 'sand, gravel' VS., sigatā- f. Kap. [Collective formation from sika- in śvēta-sika-druka- 'scattering white sand' TĀr. 1. 12. 3 A. Sharma in Bhārata-kaumudī 873. Kaf. and some Dard. forms attest IA. ś- corresponding to Ir. θ- and s- (OPers. θikā-, Bal. six, Psht. šəga, &amp;c. EVP 73) and support E. Benveniste BSL xxx 60 in assumption that s- forms of Sk. and other Dard. languages and WPah. (which distinguish ś and s) are loans from or influenced by Iranian. Variations in Kaf. and Dard. of -g- ~ -k- and -l- ~ -t- may be due to borrowings within that group or to later Ir. influences or they may, in part at least, be due to suffix. variation like that of síkatā- ~ *sikatī- (in sikatyà- VS.) ~ siktā- lex. ~ *sikyā-]
13415	síndhu	1	2	river		sin	sin	sin	sin			gil:618; koh:619; gur:620; Astor:621	13415 síndhu f. 'river, the Indus', m. 'flow (in general), sea' RV.
13519	suvárṇa	2	3	gold		soṇ	soóṇ	soóṇ	soná			gil:1370; koh:1371; gur:1372; Astor:1373	13519 suvárṇa 'of bright colour, golden' RV., n. 'gold' AV., suvarṇaka- 'golden' Hariv. 2. saúvarṇa- 'golden' ŚrS., n. 'gold' MBh. — In many cases it is impossible to distinguish whether a NIA. form is derived from suvárṇa- or saúvarṇa-: they are therefore listed below together. [su-², várṇa-¹]
13574	sū́ra	1	2	sun; day	súuri [sun]	súuri	súuri	súuri	súuri			gil:425; koh:426; gur:427; gur:455; Astor:428	13574 sū́ra m. 'sun' RV. 2. sū́rya- m. 3. sū́riya- m. (metr.) RV. 4. sūrī- f. 'a name of Kuntī as wife of the  sun' Pāṇ.vārtt. 5. saurī́- (f. of saura- 'relating to the sun' MaitrUp.) f. 'wife of the sun' W., 'a name of Tapatī daughter of the sun' MBh. [svàr-]
13576	sŕ̥kvan	1	2	neck	ṣáak [rear shoulder]	ṣak	ṣak	ṣak	ṣak			gil:114; koh:115; gur:116; Astor:117	13576 sŕ̥kvan m. 'corner of mouth' RV., n. du. (sr̥kvaṇī, sr̥kkaṇī, whence acc. sg. sr̥kkaṇīm Kathās., du. sr̥kkanyau Suśr.) MBh., sr̥kva- (sr̥kka- n. lex.) m. or n. Suśr., sr̥kvi- n. lex., n. du. (sr̥kviṇī, sr̥kkiṇī, whence acc. sg. sr̥kviṇīm MBh. v.l., Pañcat.) MBh. 2. srákva- m. or n. 'corner of mouth, jaws' RV.
13627	skandhá	2	2	shoulder	káand [shoulder]		kaṇíi					koh:133	13627 skandhá m. 'shoulder, upper part of back' AV., 'trunk of tree, mass (esp. of an army)' MBh., skándhas- n. 'branching top of a tree' RV. [Absence of any trace of initial s- in Kafiri and Dardic supports possibility of IA. *kandha- beside sk° (unnecessarily assumed in ODBL 438 for NIA. k- which is dissim. from kh- before dh as prob. in Aś. agi-k{h}aṁdha-)]
13682	stambha		2	tree		tom	tom	tom	tom			gil:843; koh:844; gur:845; Astor:846	13682 stambha m. 'pillar, post' Kāṭh., °aka- m. Mahāvy. [√stambh]
13736	*straika		2	woman		cey	céi	céi	céi			gil:243; koh:244; gur:245; Astor:246	13736 *straika 'female', *straikī- 'woman'. [Cf. straíṇa- 'female' RV. and -strīka- in cmpds. Kālid. — strī́-]
13801	snuṣā́	2	2	daughter-in-law		nuúṣ	nuúṣ	nuúṣ	nuúṣ			gil:169; koh:170; gur:171; Astor:172	13801 snuṣā́ f. 'son's wife' AV.
13839	*sphiyá-,	2	2	shoulder; mattock (hoe)		phíco; phyóo~li	phíjo; pheélo	phíjo; phyóo~li	phéelo			gil:127; gil:331; koh:128; koh:332; gur:129; gur:333; Astor:134	13839 *sphiyá-, sphyá- '*scapula'. 2. m. 'flat piece of wood for stirring offerings of boiled rice or for trimming mound used as altar' AV., 'boom, spar' ŚBr., m.n. 'a kind of oar' R. [Both meanings in Ir. *phiya-: Wkh. fiáh 'shoulderblade', Shgh. fyak, Kurd. pil, pāwl 'shoulder' ~ Wkh. péi 'shovel', Sar. Ishk. féi, Shgh. fe: cf. K. L. Janert KZ 79, 89-111.
13913	svásr̥	1	2	sister		sa	sas	sas	sas			gil:226; koh:227; gur:228; Astor:229	13913 svásr̥ f. 'sister' RV. [For phonology of svásr̥- and distribution of it and bhaginī- see AO xxi 27 ff.]
13929	*svāpra		2	dream		sáa~c̣e	sáac̣ho	sáac̣u	sáa~c̣o			gil:276; koh:277; gur:278; Astor:279	13929 *svāpra 'sleep'. [Cf. Lat. sopor. — √svap¹]
14000	halá	2	2	plow	haál [plough]	hal	hal	hal	hal			gil:348; koh:349; gur:350; Astor:351	14000 halá¹ m.n. 'plough' MBh., hali- m. Daś.
14024	hásta	1	2	hand	haát [hand]	hat	hat	hat	hat			gil:76; koh:77; gur:78; Astor:79	14024 hásta m. 'hand' RV., 'forearm as measure of length' VarBr̥S.
14029	hastatala		4	palm of hand		háta táawo	hattóo	hatatáa	hattáao			gil:1405; koh:1406; gur:1407; Astor:1408	14029 hastatala n. 'palm of hand' Mudr. [hásta-, tala-]
14152	hŕ̥daya	1	3	heart	híṛu [heart]	híyo	hyúu	híi; híiu	hyúu			gil:84; koh:85; gur:86; gur:87; Astor:88	14152 hŕ̥daya n. 'heart' RV. [hr̥d-]
6254-3			0	pomegranate		daṇúu~	daṇúu~	daṇú~	daṇúu~			gil:826; koh:827; gur:828; Astor:829	
e50			0	sky			asmán		asmán			koh:415; Astor:416	
~1154			0	Sunday		adít	itváar	aitvaár; áathɨ vaár	adít			gil:459; koh:460; gur:461; gur:462; Astor:463	
~12287c			0	Saturday		šimšér			šimšér			gil:456; Astor:457	
~12506			0	Friday		šúkur			šúkur			gil:477; Astor:478	
~13610			0	Monday			suwáar					koh:467	
~14720			0	Wednesday				bodvaár				gur:473	
~9641			0	Tuesday				bóṅu vaár				gur:470	
