ID,Name,Glottocode,Latitude,Longitude,Clade,Location,Quality
marwari_bagra,Godwari,godw1241,25.417504,73.107785,Rajasthanic,,C
mewari_bannoda,Wagri,wagd1238,24.137701,74.047239,Bhil,,C
mewari_basad,Malvi,malv1243,24.243083,75.027707,Rajasthanic,"SIL ESR 2009-011 contributes 30 locality wordlists from Madhya Pradesh and Rajasthan, grouped in the source as Ujjaini, Rajwadi, Umadwadi, Sondhwadi, Gond-Malvi and Bhil-Malvi",C
mewari_dholpura,Mewari,mewa1249,25.084731,74.220835,Rajasthanic,,C
mewati_akera,Mewati,mewa1250,27.817648,77.035043,Rajasthanic,,C
mewati_jhambaus,Ahirwadi,mewa1250,28.235628,76.927847,Rajasthanic,,C
bagheli_lakshman,Bagheli,bagh1251,24.482879,81.356341,E. Hindi,,C
bundeli_atarra,Bundeli,bund1253,25.008376,79.564258,W. Hindi,,C
maimani,Maimani,luwa1238,23.616667,58.566667,Sindhic,,
luwati,Luwati,luwa1238,23.621347,58.561492,Sindhic,,
Rana,Rana Tharu,rana1246,28.65,80.44,Bihari,,
Dang,Dangaura Tharu,dang1260,27.88,81.78,Bihari,,
Chitwan,Chitwania Tharu,chit1274,27.58,84.41,Bihari,,
Morang,Morangia Tharu,east2316,26.666667,87.5,Bihari,,
sambalpuri,Sambalpuri,samb1261,21.22,83.93,Eastern,,
Kannauji-Central,Kannauji,kana1281,27.0437956,79.8951742,W. Hindi,,
Buksa,Bhuksa Tharu,buks1238,29.397962,79.126163,Bihari,,C
Kathoriya,Kathoriya Tharu,kath1250,28.53981,80.797511,Bihari,,C
Sunha,Sunha Tharu,thar1284,28.837028,80.320613,Bihari,,C
Goj,Gujari,guja1253,34.043002,73.225443,Rajasthanic,,C
Ush,Ushojo,usho1238,35.139395,72.67756,Shinaic,,C
DewasDoneDanuwar,Dewas-Done Danuwar,dhan1265,27.36,85.41,Bihari,"Makwanpur, Sindhuli, Kavre, and neighboring districts, Nepal",C
KochariyaEastDanuwar,Kochariya-East Danuwar,koch1253,27.12,85.63,Bihari,"Bara, eastern Sindhuli, and neighboring districts, Nepal",C
Hajong,Hajong,hajo1238,25.5143,89.8594,Eastern,Bangladesh and India (Glottolog language coordinate),B
MagahiNepal,Magahi (Nepal survey),maga1260,25.0915,85.3335,Bihari,Glottolog 5.3 language coordinate; parent for the five Nepal survey sites,B
Bhatri,Bhatri,bhat1265,19.2778,82.1341,Halbic,"Bastar district, Chhattisgarh and Nabarangapur/Koraput districts, Odisha; centroid of Beine's nine 1989 survey sites",C
AdivasiOriya,Adivasi Oriya,adiv1239,18.3234,82.8806,Eastern,"Araku Valley, Alluri Sitharama Raju district, Andhra Pradesh; Beine's single 1989 survey site",C
Bishnupriya,Bishnupriya Manipuri,bish1244,24.50,91.80,Eastern,"Sylhet division, northeastern Bangladesh; parent for the six Kim and Kim 2008 survey sites",C
RathwiBareli,Rathwi Bareli,rath1242,21.4375,74.9958,Bhil,"Madhya Pradesh and northern Maharashtra, India; parent for seven ESR 2018-011 Rathwi/Rathwi Pauri/Rathwi Bareli survey lists",C
Bhilali,Bhilali,bhil1253,22.58346,74.59014,Bhil,"Western Madhya Pradesh, India; parent for nine ESR 2018-011 Bhilali/Parya Bhilali survey lists",C
Bhili,Bhili,bhil1251,20.85,73.9592,Bhil,"Madhya Pradesh and Gujarat, India; parent for four ESR 2018-011 Bhili survey lists",C
Rathawi,Rathawi,rath1243,22.309,73.186,Bhil,"Eastern Gujarat, India; parent for the ESR 2018-011 Mankodi survey list",C
PalyaBareli,Palya Bareli,paly1238,21.937,75.233,Bhil,"Western Madhya Pradesh and northern Maharashtra, India; parent for two ESR 2018-011 Palya survey lists",C
PauriBareli,Pauri Bareli,paur1238,21.228,74.337,Bhil,"Northern Maharashtra and western Madhya Pradesh, India; parent for three ESR 2018-011 Bareli Pauri survey lists",C
Nimadi,Nimadi,nima1243,22.1263,76.1264,Rajasthanic,"Nimar region of Madhya Pradesh, India; parent for thirteen ESR 2012-002 survey lists and three ESR 2018-011 regional comparison lists",C
Khandesi,Khandesi,khan1272,21.3181,74.142,Bhil,"Dhule district, Maharashtra, India; parent for the ESR 2018-011 Ahirani regional comparison list",C
Vasavi,Vasavi,vasa1239,,,Bhil,Northern Maharashtra and Gujarat; parent for four Watters 2013 Vasave lists; source supplies no list coordinates,C
Noiri,Noiri,noir1238,,,Bhil,Northern Maharashtra and adjacent Madhya Pradesh; parent for the ESR 2013-004 and ESR 2015-012 Noiri/Bhilori/Kotli survey lists; Kotli routing is provisional and not a genealogical determination; sources supply no list coordinates,C
DungraBhili,Dungra Bhil,dung1251,,,Bhil,Western India; parent for the Mathwad and Ambadungar ESR 2015-012 Dungra Bhili survey lists; source supplies no list coordinates,C
