family_id	headword	headword_original	headword_field	gloss	tags	source	etymology	records	formations	ancestral_forms	languages	bro	Kalk	Kund	OSh	Phal	Sh	Sv	Ush
1252	*āmārayati	*āmārayati	Original	rubs		CDIAL	"<number>1252</number> <b>*āmārayati</b> 'rubs'. [Cf. *<smallcaps>mālayati</smallcaps> and, for <i>ā</i>- with verbs of touching, <i>āmr̥j</i>-, <i>āmr̥d</i>-, <i>āmr̥ś</i>-: √<smallcaps><a data-entry=""r468"">mr̥̄</a></smallcaps>]"	2	1252	*āmārayati	Phal					āmberū́m [I rub; CDIAL; ] | aamburíi [rub; wrinkle; liljegren; ]			
1255	*āmilati	*āmilati	Original	meets together, tangles		CDIAL	"<number>1255</number> <b>*āmilati</b> 'meets together, tangles'. [√<smallcaps><a data-entry=""r452"">mil</a></smallcaps>]"	1	1255	*āmilati	Sh						amuloiki [to rival, compete with inimically; CDIAL; ]		
1265	āmr̥ṣyatē	āmr̥ṣyatē	Original	bears patiently	MBh Epic	CDIAL;NIA	"<number>1265</number> <b>āmr̥ṣyatē</b> 'bears patiently' MBh. 2. pp. <b>*āmr̥ṣṭa-</b>². 3. <b>āmarṣa-</b> '*forgetfulness' ('anger' lex.). [<i>mŕ̥ṣyatē</i> 'forgets' RV.: though phonet. colliding with <smallcaps>āmr̥śyatē</smallcaps> 'is wiped out' in NIA., derivation from <i>mr̥ṣ</i>- is supported by Pahl. <i>framōš</i> 'forgetting': √<smallcaps><a data-entry=""r469"">mr̥ṣ</a></smallcaps>]"	7	1265;1265-2	āmr̥ṣyatē; *āmr̥ṣṭa	Phal;Sh					amuṣ [to forget, be forgotten; CDIAL;Morgenstierne;NOPhal; ] | āmūᵘṣṭo [was forgotten; CDIAL; ] | aamúuṣa [to forget; liljegren; ] | aamúuṣe [to forget; liljegren; dialect:Phal:biori:Biori]	amušoĭki̯ [to forget; CDIAL; ] | amūṭus [I forgot; CDIAL; ] | amuš- [forget; degener-shina2008; dialect:Sh:gil:Gilgit]		
1268	āmrá	āmrá	Original	mango tree, Mangifera indica; its fruit	m MBh ŚBr Epic Early-Vedic	CDIAL	<number>1268</number> <b>āmrá</b> m. 'mango tree, Mangifera indica' MBh., n. 'its fruit' ŚBr.	23	1268	āmrá	Kund;Sh			am [mango; kund; ]			ɑm [mango; backstrom1992; dialect:Sh:punl:Puniali] | ɑm [mango; backstrom1992; dialect:Sh:HunzaNasirabad:Hunza] | ɑm [mango; backstrom1992; dialect:Sh:NagarThol:Nagar%20%28Thol%29] | ɑm [mango; backstrom1992; dialect:Sh:NagarChalt:Nagar%20%28Chalt%29] | ɑm [mango; backstrom1992; dialect:Sh:gil:Gilgit] | ɑm [mango; backstrom1992; dialect:Sh:Haramosh:Haramosh] | ɑm [mango; backstrom1992; dialect:Sh:Bagrot:Bagrot] | ɑm [mango; backstrom1992; dialect:Sh:Bunji:Bunji] | ɑm [mango; backstrom1992; dialect:Sh:Rondu:Rondu] | ɑm [mango; backstrom1992; dialect:Sh:Gahorabad:Chilas%20%28Gahorabad%29] | ɑm [mango; backstrom1992; dialect:Sh:DashkinAstor:Astor%20%28Dashkin%29] | ɑm [mango; backstrom1992; dialect:Sh:Astor:Astor] | ɑm [mango; backstrom1992; dialect:Sh:KachuraJel:Kachura] | ɑm [mango; backstrom1992; dialect:Sh:Satpara:Satpara] | ɑm [mango; backstrom1992; dialect:Sh:Gultari:Gultari] | ɑm [mango; backstrom1992; dialect:Sh:Kharmang:Kharmang] | ɑm [mango; backstrom1992; dialect:Sh:ChilasKhinar:Chilas%20%28Khinar%29] | ɑm [mango; backstrom1992; dialect:Sh:ChilasJelil:Chilas%20%28Jelil%29] | ɑm [mango; backstrom1992; dialect:Sh:Darel:Darel] | ɑm [mango; backstrom1992; dialect:Sh:Jalkot:Jalkot] | ɑm [mango; backstrom1992; dialect:Sh:pales:Palesi] | ɑm [mango; backstrom1992; dialect:Sh:Kolai:Kolai]		
1287	āyācatē	āyācatē	Original	supplicates	R Epic	CDIAL	"<number>1287</number> <b>āyācatē</b> 'supplicates' R. 2. <b>āyācita-</b> n. 'prayer' R. [√<smallcaps><a data-entry=""r832"">yāc</a></smallcaps>]"	1	1287	āyācatē	Sh						aióiki [to ask for a girl as a wife for one's son; CDIAL; ]		
1288	ā́yāti	ā́yāti	Original	comes near	RV Early-Vedic	CDIAL	"<number>1288</number> <b>ā́yāti</b> 'comes near' RV. 2. <b>āyāta-</b> MBh. [√<smallcaps><a data-entry=""r831"">yā</a></smallcaps>]"	6	1288;1288-2	ā́yāti; āyāta	Sh						ōnṷ [to come; CDIAL; dialect:Sh:gur:Guresi] | yāth [to come; CDIAL; dialect:Sh:gur:Guresi] | ĕh [; CDIAL; dialect:Sh:gur:Guresi] | ālos [I came; CDIAL; dialect:Sh:gur:Guresi] | oónu [to come; schmidt; dialect:Sh:gur:Guresi] | áal- [come (only perfect stem); degener-shina2008; dialect:Sh:gil:Gilgit]		
1295	ārá	ārá	Original	from a distance; near; immediately		CDIAL;CDIAL	<number>1295</number> <b>ārá</b>¹ pronominal stem in <i>ārā́t</i> 'from a distance' RV., 'near' Gaut., 'immediately' Kathās., <i>ārḗ</i> 'at a distance'.<!--addendum--><number>14276</number> <b>ārá-¹</b>	20	1295	ārá	Phal;Sh					aṛʹo [that one [proximal; not determiner]; strand; dialect:Palula] | eeṛó [that (agr: dist nom masc); liljegren; ] | aṛó [that (agr: dist nom masc); liljegren; ] | haṛó [that (agr: dist nom masc); liljegren; dialect:Phal:biori:Biori]	ro [that; CDIAL; ] | re [that; CDIAL; ] | ri [that; CDIAL; ] | ɑˈlo [that; backstrom1992; dialect:Sh:Gupis:Gupis] | ˈpɑro [that; backstrom1992; dialect:Sh:NagarThol:Nagar%20%28Thol%29] | ro̱ [that; backstrom1992; dialect:Sh:gil:Gilgit] | ɑ̀ó [that; backstrom1992; dialect:Sh:Satpara:Satpara] | ɑo [that; backstrom1992; dialect:Sh:Gultari:Gultari] | ˈɑo [that; backstrom1992; dialect:Sh:Kharmang:Kharmang] | ˈɑlo [that; backstrom1992; dialect:Sh:Darel:Darel] | ˈʌṛo [that; backstrom1992; dialect:Sh:Tangir:Tangir] | ɑˈyo [that; backstrom1992; dialect:Sh:Sazin:Sazin] | re [that, she; degener-shina2008; dialect:Sh:gil:Gilgit] | ro [that; degener-shina2008; dialect:Sh:gil:Gilgit] | re [one; the other; buddruss-shina1996; dialect:Sh:gil:Gilgit] | ro [; CDIAL; ]		
1300	āracayati	āracayati	Original	prepares, provides with	lex	CDIAL	"<number>1300</number> <b>āracayati</b> 'prepares, provides with' lex., <i>āracita</i>- 'put on (of ornaments)' Pañcat. [√<smallcaps><a data-entry=""r548"">rac</a></smallcaps>]"	1	1300	āracayati	Sh						oroz [to dress (somebody); CDIAL;Morgenstierne; dialect:Sh:chil:Chilas]		
1338	*ārta	*ārta	Original	flour		CDIAL;Morgenstierne;EVP[12];Wackernagel AiGr[i 170]	<number>1338</number> <b>*ārta</b>² 'flour', <i>aṭṭa</i>- n. 'food' MBh., 'boiled rice' lex. [Cf. Ir. <i>*ārta</i>- &gt; Psht. <i>ōṛə</i> 'flour', Yghn. <i>ārt</i>, Pers. <i>ārd</i>, beside <i>*r̥ta</i>- &gt; Av. <i>aša</i>-. Either vr̥ddhi-form of <i>*r̥ta</i>-, i.e. 'consisting of what is ground' or <i>*ā-r̥ta</i>- with Morgenstierne EVP 12. Wackernagel AiGr i 170 wrongly <i>aṭṭa</i>- &lt; <i>*alta</i>- since Dm. P. L. and perh. Kal. point to <i>ā</i>]	5	1338	*ārta	Phal;Sh					hāṭ [flour; CDIAL; ] | haáṭ [flour; liljegren; ] | hâʹṭ [flour; strand; dialect:Palula]	ā̃ṭe̯ [flour; CDIAL; ] | áa~ṭe [flour; degener-shina2008; dialect:Sh:gil:Gilgit]		
1340	ārdrá	ārdrá	Original	wet	RV Early-Vedic	CDIAL	<number>1340</number> <b>ārdrá</b> 'wet' RV. 2. <b>*ālla-</b> &lt; <i>*ārdla</i>-.	25	1340	ārdrá	Kund;Sh			adr [wet; kund; ]			áẓŭ [wet; CDIAL; ] | ˈɑẓ̌o [wet; backstrom1992; dialect:Sh:Gupis:Gupis] | ˈɑẓ̌o̱ [wet; backstrom1992; dialect:Sh:punl:Puniali] | ˈɑẓ̌o̱ [wet; backstrom1992; dialect:Sh:HunzaNasirabad:Hunza] | ˈɑẓ̌o̱ [wet; backstrom1992; dialect:Sh:NagarThol:Nagar%20%28Thol%29] | ˈɑẓ̌o [wet; backstrom1992; dialect:Sh:NagarChalt:Nagar%20%28Chalt%29] | ˈɑẓ̌o̱ [wet; backstrom1992; dialect:Sh:gil:Gilgit] | ˈɑẓ̌o [wet; backstrom1992; dialect:Sh:Haramosh:Haramosh] | ˈɑẓ̌o [wet; backstrom1992; dialect:Sh:Bagrot:Bagrot] | ˈɑẓ̌o̱ [wet; backstrom1992; dialect:Sh:Bunji:Bunji] | ˈɑẓ̌o̱ [wet; backstrom1992; dialect:Sh:Rondu:Rondu] | ˈɑẓ̌o̱ [wet; backstrom1992; dialect:Sh:Gahorabad:Chilas%20%28Gahorabad%29] | ˈɑẓ̌o̱ [wet; backstrom1992; dialect:Sh:DashkinAstor:Astor%20%28Dashkin%29] | ˈɑẓ̌o̱ [wet; backstrom1992; dialect:Sh:Astor:Astor] | ˈɑẓ̌o̱ [wet; backstrom1992; dialect:Sh:KachuraJel:Kachura] | ˈɑẓ̌o̱ [wet; backstrom1992; dialect:Sh:Satpara:Satpara] | ˈɑẓ̌o̱ [wet; backstrom1992; dialect:Sh:Gultari:Gultari] | ˈɑẓ̌o [wet; backstrom1992; dialect:Sh:Kharmang:Kharmang] | ˈɑẓ̌o [wet; backstrom1992; dialect:Sh:dr:Dras] | ˈɑẓ̌o̱ [wet; backstrom1992; dialect:Sh:ChilasKhinar:Chilas%20%28Khinar%29] | ˈɑẓ̌o̱ [wet; backstrom1992; dialect:Sh:ChilasJelil:Chilas%20%28Jelil%29] | ˈɑẓ̌e [wet; backstrom1992; dialect:Sh:Darel:Darel] | ˈɑẓ̌o̱ [wet; backstrom1992; dialect:Sh:pales:Palesi] | ɑžo̱ [wet; backstrom1992; dialect:Sh:Kolai:Kolai]		
1351	āryikā	āryikā	Original	respectable woman		CDIAL	"<number>1351</number> <b>āryikā-,</b> <i>°yakā</i>- f. 'respectable woman' lex. [<smallcaps><a data-entry=""1347"">ā́rya</a></smallcaps>-]"	36	1351	āryikā	Kalk;Phal;Sh		yee [mother; kalkoti; dialect:Kalk:HKAT-xka:Kalkot%20%28HKAT%29]			yēi [mother; CDIAL; ] | yéei [mother; liljegren; ] | yái [mother; liljegren; dialect:Phal:biori:Biori] | yʹêy [mother; strand; dialect:Palula]	āžĕ [mother; CDIAL; dialect:Sh:gil:Gilgit] | āǰe [mother; CDIAL; dialect:Sh:koh:Kohistani] | ˈɑɑǰi [mother; backstrom1992; dialect:Sh:Gupis:Gupis] | ˈɑɑ́ǰi [mother; backstrom1992; dialect:Sh:punl:Puniali] | ɑɑ́ˈzi [mother; backstrom1992; dialect:Sh:NagarThol:Nagar%20%28Thol%29] | ˈɑɑǰi [mother; backstrom1992; dialect:Sh:NagarChalt:Nagar%20%28Chalt%29] | ˈɑɑ́ǰi̱ [mother; backstrom1992; dialect:Sh:gil:Gilgit] | ˈɑɑ́ǰi [mother; backstrom1992; dialect:Sh:Haramosh:Haramosh] | ˈɑɑ́ǰi̱ [mother; backstrom1992; dialect:Sh:Bagrot:Bagrot] | ˈɑɑ́ǰi [mother; backstrom1992; dialect:Sh:Bunji:Bunji] | ˈɑɑǰi [mother; backstrom1992; dialect:Sh:Rondu:Rondu] | ˈɑɑ́ǰi [mother; backstrom1992; dialect:Sh:Gahorabad:Chilas%20%28Gahorabad%29] | ˈɑɑ́ǰɛ̱ [mother; backstrom1992; dialect:Sh:DashkinAstor:Astor%20%28Dashkin%29] | ˈɑɑ́ǰɛ̱ [mother; backstrom1992; dialect:Sh:Astor:Astor] | ɑɑ́ǰi [mother; backstrom1992; dialect:Sh:KachuraJel:Kachura] | ɑži [mother; backstrom1992; dialect:Sh:Satpara:Satpara] | ˈɑǰɛ̱ [mother; backstrom1992; dialect:Sh:Gultari:Gultari] | ˈɑɑǰɛ [mother; backstrom1992; dialect:Sh:Kharmang:Kharmang] | ɑˈǰe [mother; backstrom1992; dialect:Sh:dr:Dras] | ˈɑ̀ɑži [mother; backstrom1992; dialect:Sh:ChilasKhinar:Chilas%20%28Khinar%29] | ˈɑ̀ɑži [mother; backstrom1992; dialect:Sh:ChilasJelil:Chilas%20%28Jelil%29] | ˈɑɑži [mother; backstrom1992; dialect:Sh:Darel:Darel] | ˈɑɑ́ži [mother; backstrom1992; dialect:Sh:Tangir:Tangir] | ˈɑɑ́že [mother; backstrom1992; dialect:Sh:Sazin:Sazin] | ˈɑye [mother; backstrom1992; dialect:Sh:Harban:Harban] | aáji [mother; schmidt; dialect:Sh:gil:Gilgit] | áji [mother; schmidt; dialect:Sh:koh:Kohistani] | aáji [mother; schmidt; dialect:Sh:gur:Guresi] | aáji [mother; schmidt; dialect:Sh:Astor:Astor] | aáǰi [mother; degener-shina2008; dialect:Sh:gil:Gilgit] | aáji [mother; buddruss-shina1996; dialect:Sh:gil:Gilgit]		
1388	ālu	ālu	Original			CDIAL	<number>1388</number> <b>ālu-,</b> <i>°uka</i>- n. 'esculent root of Amorphophallus campanulatus' lex. 2. <b>ālukī-</b> f. 'a species of root' Bhpr.	28	1388	ālu	Kund;Sh			ālū̃ [potato; kund; ]			ɑˈlu [potato; backstrom1992; dialect:Sh:Gupis:Gupis] | ɑˈlu [potato; backstrom1992; dialect:Sh:punl:Puniali] | ˈɑlu [potato; backstrom1992; dialect:Sh:HunzaNasirabad:Hunza] | ˈɑlu [potato; backstrom1992; dialect:Sh:NagarThol:Nagar%20%28Thol%29] | ˈɑlu [potato; backstrom1992; dialect:Sh:NagarChalt:Nagar%20%28Chalt%29] | ˈɑlu [potato; backstrom1992; dialect:Sh:gil:Gilgit] | ɑˈlu [potato; backstrom1992; dialect:Sh:Haramosh:Haramosh] | hɑˈlu [potato; backstrom1992; dialect:Sh:Bagrot:Bagrot] | ɑˈlu [potato; backstrom1992; dialect:Sh:Bunji:Bunji] | ˈɑlu [potato; backstrom1992; dialect:Sh:Rondu:Rondu] | ɑlu [potato; backstrom1992; dialect:Sh:Gahorabad:Chilas%20%28Gahorabad%29] | ɑˈlu [potato; backstrom1992; dialect:Sh:DashkinAstor:Astor%20%28Dashkin%29] | ɑˈlu [potato; backstrom1992; dialect:Sh:Astor:Astor] | ɑˈlu [potato; backstrom1992; dialect:Sh:KachuraJel:Kachura] | ɑlu [potato; backstrom1992; dialect:Sh:Satpara:Satpara] | ʌˈlu [potato; backstrom1992; dialect:Sh:Gultari:Gultari] | ˈɑlu [potato; backstrom1992; dialect:Sh:Kharmang:Kharmang] | ɑˈlu [potato; backstrom1992; dialect:Sh:dr:Dras] | ˈɑlu [potato; backstrom1992; dialect:Sh:ChilasKhinar:Chilas%20%28Khinar%29] | ˈɑlu [potato; backstrom1992; dialect:Sh:ChilasJelil:Chilas%20%28Jelil%29] | ˈɑlu [potato; backstrom1992; dialect:Sh:Darel:Darel] | ɑˈlu [potato; backstrom1992; dialect:Sh:Tangir:Tangir] | ɑˈlu [potato; backstrom1992; dialect:Sh:Sazin:Sazin] | ˈɑlu [potato; backstrom1992; dialect:Sh:Harban:Harban] | ɑˈlu [potato; backstrom1992; dialect:Sh:Jalkot:Jalkot] | ɑlu [potato; backstrom1992; dialect:Sh:pales:Palesi] | ɑˈlu [potato; backstrom1992; dialect:Sh:Kolai:Kolai]		
1440	ā́vr̥ta	ā́vr̥ta	Original	covered; surrounded	RV Mn Early-Vedic Epic	CDIAL	"<number>1440</number> <b>ā́vr̥ta</b> 'covered' RV., 'surrounded' Mn. [√<smallcaps><a data-entry=""r788"">vr̥</a></smallcaps>¹]"	3	1440	ā́vr̥ta	Phal					awī́ṛu [narrow; CDIAL; ] | aawíiṛu [narrow ; tight; liljegren; ] | awʹiṛo [narrow; strand; dialect:Palula]			
1446	āvēśika	āvēśika	Original	guest	m lex	CDIAL;CDIAL	"<number>1446</number> <b>āvēśika</b> m. 'guest' lex. [<i>āvēśa</i>- m. 'entering' Bālar., Pk. <i>āvēsa</i>- m.: √<smallcaps><a data-entry=""r781"">viś</a></smallcaps>]<!--addendum--><number>14287</number> <b>āvēśika-</b>"	2	1446	āvēśika	Sh						aošo [guest; CDIAL; ] | ōšo [guest; CDIAL; ]		
1473	āṣāḍhá	āṣāḍhá	Original	the month June-July	m Suśr Classical	CDIAL	"<number>1473</number> <b>āṣāḍhá</b> m. 'the month June-July' Suśr., <i>°aka</i>- m. lex. 2. <b>āṣāḍhī-</b> f. 'the day of full moon in this month' KātyŚr. [<smallcaps><a data-entry=""932"">áṣāḍhā</a></smallcaps>-]."	2	1473	āṣāḍhá	Phal;Sh					âṣâʹṛ [apricot; strand; dialect:Palula]	asát [name of a month; degener-shina2008; dialect:Sh:gil:Gilgit]		
1474	āṣāḍhīya	āṣāḍhīya	Original	*pertaining to the month Āṣāḍha	Pāṇ Epic	CDIAL	"<number>1474</number> <b>āṣāḍhīya</b> '*pertaining to the month Āṣāḍha' ('born in the constellation of aṣāḍhā' Pāṇ.). [<smallcaps><a data-entry=""1473"">āṣāḍhá</a></smallcaps>-]"	5	1474	āṣāḍhīya	Phal;Sh					āṣā́ṛ [apricot; CDIAL; ] | āṣā́ṛī́ [the tree; CDIAL; ] | aaṣaáṛ [apricot; liljegren; ]	*aṣāī [apricot tree and fruit; CDIAL; ] | ʌṣaei [apricot tree and fruit; CDIAL;AO; ]		
1480	ā́satē	ā́satē	Original		AV Early-Vedic	CDIAL	"<number>1480</number> <b>ā́satē</b> AV. 2. <b>ā́stē</b> 'sits, exists, remains' RV. [√<smallcaps><a data-entry=""r834"">ās</a></smallcaps>]"	2	1480	ā́satē	Kalk;Sh		aas [was; kalkoti; dialect:Kalk:HKAT-xka:Kalkot%20%28HKAT%29]				ắsŭs [I was; CDIAL; ]		
1514	āsthā́na	āsthā́na	Original	place, assembly	n VS Early-Vedic	CDIAL	"<number>1514</number> <b>āsthā́na</b> n. 'place, assembly' VS. [√<smallcaps><a data-entry=""r676"">sthā</a></smallcaps>]"	1	1514	āsthā́na	Sh						astān [shrine; CDIAL; ]		
1517	*āsthāman	*āsthāman	Original	meeting place		CDIAL	"<number>1517</number> <b>*āsthāman</b> 'meeting place'. [√<smallcaps><a data-entry=""r676"">sthā</a></smallcaps>]"	1	1517	*āsthāman	Sh						astóm [judgement; CDIAL;Morgenstierne;NTS; ]		
1533	āsyà	āsyà	Original	mouth; face	n RV Yājñ Early-Vedic Classical	CDIAL	<number>1533</number> <b>āsyà</b> n. 'mouth' RV., 'face' Yājñ. 2. <b>āsíya-.</b>	43	1533;1533-2	āsíya; āsyà	Sh;Sv;Ush						ā̃i [mouth; CDIAL; dialect:Sh:gil:Gilgit] | āzṷ [mouth; CDIAL; dialect:Sh:gur:Guresi] | á̃̄zi [mouth; CDIAL; dialect:Sh:pales:Palesi] | ā́nzi [mouth; CDIAL; dialect:Sh:jij:Jijelut] | ˈɑ̃ɑ̃zo [mouth; backstrom1992; dialect:Sh:Gupis:Gupis] | ˈɑ̃ɑ̃zo [mouth; backstrom1992; dialect:Sh:punl:Puniali] | ʔɑ̃ĩ [mouth; backstrom1992; dialect:Sh:HunzaNasirabad:Hunza] | ˈɑ̃ĩ [mouth; backstrom1992; dialect:Sh:NagarThol:Nagar%20%28Thol%29] | ʔɑ̃ĩ [mouth; backstrom1992; dialect:Sh:NagarChalt:Nagar%20%28Chalt%29] | ˈɑ̃ĩ [mouth; backstrom1992; dialect:Sh:gil:Gilgit] | ɑ̃i [mouth; backstrom1992; dialect:Sh:Haramosh:Haramosh] | ɑ̃i [mouth; backstrom1992; dialect:Sh:Bagrot:Bagrot] | ʔɑ̱̃ĩ̱ [mouth; backstrom1992; dialect:Sh:Bunji:Bunji] | ɑ̃ĩ [mouth; backstrom1992; dialect:Sh:Rondu:Rondu] | ʔɑ̃ĩz [mouth; backstrom1992; dialect:Sh:Gahorabad:Chilas%20%28Gahorabad%29] | ˈɑ̃zo [mouth; backstrom1992; dialect:Sh:DashkinAstor:Astor%20%28Dashkin%29] | ˈɑ̃zo [mouth; backstrom1992; dialect:Sh:Astor:Astor] | ˈɑ̃zo [mouth; backstrom1992; dialect:Sh:KachuraJel:Kachura] | ˈɑ̃zi [mouth; backstrom1992; dialect:Sh:KachuraJel:Kachura] | ˈɑ̃zi [mouth; backstrom1992; dialect:Sh:Satpara:Satpara] | ˈɑ̃zo [mouth; backstrom1992; dialect:Sh:Gultari:Gultari] | ˈɑ̃zo [mouth; backstrom1992; dialect:Sh:Kharmang:Kharmang] | ˈɑ̃zo [mouth; backstrom1992; dialect:Sh:dr:Dras] | ˈɑ̃zi̱ [mouth; backstrom1992; dialect:Sh:ChilasKhinar:Chilas%20%28Khinar%29] | ˈɑ̃zi̱ [mouth; backstrom1992; dialect:Sh:ChilasJelil:Chilas%20%28Jelil%29] | ˈɑ̃zi [mouth; backstrom1992; dialect:Sh:Darel:Darel] | ˈɑ̃zi̱ [mouth; backstrom1992; dialect:Sh:Tangir:Tangir] | ˈɑ̃zi [mouth; backstrom1992; dialect:Sh:Sazin:Sazin] | ˈɑ̃zi [mouth; backstrom1992; dialect:Sh:Harban:Harban] | ɑ̃z [mouth; backstrom1992; dialect:Sh:Jalkot:Jalkot] | ɑ̃z [mouth; backstrom1992; dialect:Sh:pales:Palesi] | ɑ̃iz [mouth; backstrom1992; dialect:Sh:Kolai:Kolai] | áa~y [mouth; schmidt; dialect:Sh:gil:Gilgit] | áa~zi [mouth; schmidt; dialect:Sh:koh:Kohistani] | áa~zu [mouth; schmidt; dialect:Sh:gur:Guresi] | áa~zo [mouth; schmidt; dialect:Sh:Astor:Astor] | áa~i [mouth; degener-shina2008; dialect:Sh:gil:Gilgit] | áa~i [mouth; buddruss-shina1996; dialect:Sh:gil:Gilgit] | aaizo [mouth; schmidt; dialect:Sh:dr:Dras] | ã́:zo [Mouth; rajapurohit2012; dialect:Sh:dr:Dras] | ã́:ŋzo [Mouth; rajapurohit2012; dialect:Sh:dr:Dras]	õẽ [mouth; decker1992; dialect:Sv:SSNP-chitral-SSS:Sau]	'ɑ̃ziː [mouth; rensch-decker-hallberg1992; dialect:Ush:SSNP-ushojo-USH:Bishigram]
1561	ítara	ítara	Original	the other; the rest	pl RV Early-Vedic	CDIAL	<number>1561</number> <b>ítara</b> 'the other', pl. 'the rest' RV. [<smallcaps>i</smallcaps>-¹]	2	1561	ítara	Sh						yar [next, previous; CDIAL; ] | yarī́nu [next; CDIAL; ]		
1577	indradhanúṣ	indradhanúṣ	Original	rainbow	n AV Early-Vedic	CDIAL	"<number>1577</number> <b>indradhanúṣ</b> n. 'rainbow' AV. [<smallcaps><a data-entry=""1572"">índra-</a>, dhánuṣ</smallcaps>-]"	8	1577	indradhanúṣ	Phal;Sh					iždrā́n [; CDIAL; ] | izrā́ṇ [; CDIAL; ] | ž [; CDIAL; ] | z [; CDIAL;NOPhal; ] | izraáṇ [rainbow; liljegren; ] | zriaán [rainbow; liljegren; ] | niildhráal [rainbow; liljegren; dialect:Phal:biori:Biori]	nərōn [rainbow; CDIAL; ]		
1600	íṣṭakā	íṣṭakā	Original	brick	f VS Early-Vedic	CDIAL;EWA[i 94];CDIAL	<number>1600</number> <b>íṣṭakā</b> f. 'brick' VS., <i>iṣṭikā</i>- f. MBh., <i>iṣṭā</i>- f. BHSk. [Av. <i>ištya</i>- n. Mayrhofer EWA i 94 and 557 with lit. — Pk. has disyllabic <i>iṭṭā</i>- and no aspiration like most Ind. lggs.]<!--addendum--><number>14297</number> <b>íṣṭakā-</b>	1	1600	íṣṭakā	Phal					iṣṭú [brick; liljegren; ]			
1611	īdŕ̥śa	īdŕ̥śa	Original	such, like this	ŚBr Early-Vedic	CDIAL;CDIAL	"<number>1611</number> <b>īdŕ̥śa</b> 'such, like this' ŚBr., <i>īdr̥śaka</i>- MBh. [<i>īdŕ̥ś</i>- VS.: <smallcaps>i</smallcaps>-¹, √<smallcaps><a data-entry=""r149"">dr̥ś</a></smallcaps>]<!--addendum--><number>14299</number> <b>īdŕ̥śa-</b>"	2	1611;1611-3	*ādr̩sa; īdŕ̥śa	Sh						ayo [; CDIAL; ] | ayóo [such, such a; degener-shina2008; dialect:Sh:gil:Gilgit]		
1614	īráyati	īráyati	Original	causes to rise, brings to life, utters	RV Early-Vedic	CDIAL	"<number>1614</number> <b>īráyati</b> 'causes to rise, brings to life, utters' RV. [Cf. <i>údīrayati</i> 'causes' RV.: √<smallcaps><a data-entry=""r839"">īr</a></smallcaps>]"	1	1614	īráyati	Sh						iroiki [to stretch and fix warp in position for weaving; CDIAL; ]		
1640	*uccayayati	*uccayayati	Original	collects		CDIAL	"<number>1640</number> <b>*uccayayati</b> or <i>*uccayati</i> 'collects'. [<smallcaps><a data-entry=""1647"">uccinōti</a>: √<a data-entry=""r84"">ci</a></smallcaps>¹]"	3	1640	*uccayayati	Sh						učoiki [; CDIAL; ] | učīum [; CDIAL; ] | učīgas [to pick, pick up or off, card (cotton); CDIAL; ]		
1697	uḍḍīyatē	uḍḍīyatē	Original	flies up	MBh Epic	CDIAL	"<number>1697</number> <b>uḍḍīyatē</b> 'flies up' MBh. 2. <b>uḍḍayatē</b> MBh. 3. X *<smallcaps><a data-entry=""2001"">uddrāti</a></smallcaps>. 4. Caus. <b>uḍḍāpayati.</b> [For discussion of <i>ḍ</i> see √<smallcaps><a data-entry=""r910"">ḍī</a></smallcaps>]"	2	1697	uḍḍīyatē	Phal					uṛūm [I leave, let loose; CDIAL; ] | uṛíi [to pour, let out; let loose, allow; liljegren; ]			
1718	útkasati	útkasati	Original	opens	AV Early-Vedic	CDIAL	"<number>1718</number> <b>útkasati</b> 'opens' AV. 2. Pp. <b>*utkasta-.</b> 3. Caus. <b>*utkāsayati.</b> [√<smallcaps><a data-entry=""r297"">kas</a></smallcaps>]"	3	1718;1718-2	útkasati; *utkasta	Sh						ikhayóĭki̯ [; CDIAL; dialect:Sh:gil:Gilgit] | ikhazōnṷ [to emerge; CDIAL; dialect:Sh:koh:Kohistani] | ikhátus [; CDIAL; ]		
1729	*utkuṣati	*utkuṣati	Original	cuts up		CDIAL	"<number>1729</number> <b>*utkuṣati</b> 'cuts up'. [√<smallcaps><a data-entry=""r357"">kuṣ</a></smallcaps>]"	1	1729	*utkuṣati	Sh						ukuẓoiki [to flay, skin; CDIAL; ]		
1753	útkhanati	útkhanati	Original	digs up	ŚBr Early-Vedic	CDIAL;CDIAL	"<number>1753</number> <b>útkhanati</b> 'digs up' ŚBr. 2. Pp. <b>utkhāta-.</b> [√<smallcaps><a data-entry=""r307"">khan</a></smallcaps>]<!--addendum--><number>14304</number> <b>utkhanati</b>. 2. <b>utkhāta-</b>"	3	1753	útkhanati	Sh						okoyóĭki̯ [to dig; CDIAL; dialect:Sh:gil:Gilgit] | khoyōnṷ [; CDIAL; dialect:Sh:koh:Kohistani] | okoó d- [dig (up); degener-shina2008; dialect:Sh:gil:Gilgit]		
1782	*uttarpati	*uttarpati	Original	jumps out		CDIAL	"<number>1782</number> <b>*uttarpati</b> 'jumps out'. [√<smallcaps><a data-entry=""r732"">tr̥p</a></smallcaps>]"	4	1782	*uttarpati	Phal					utrap [to run; CDIAL; ] | utráapa [to run; liljegren; ] | utráape [to run; liljegren; dialect:Phal:biori:Biori] | utrʹâp- [run; strand; dialect:Palula]			
